Products,Sum
"{'Козел', 'Донской табак'}",215.0
"{'Ласточка', 'Дирол'}",350.0
"{'Жатецкий гусь', 'Бородинский', 'Кент'}",319.0
"{'Молоко парное', 'Капуста', 'Козел'}",405.0
"{'Апельсин', 'Капуста'}",290.0
"{'Дирол', 'Твикс'}",210.0
"{'Апельсин', 'Помидоры'}",210.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Донской табак', 'Дирол'}",340.0
"{'Дирол', 'Милкивей'}",280.0
"{'Козел', 'Домашний', 'Помидоры'}",321.0
"{'Молоко пастеризованное', 'Дирол', 'Кент'}",370.0
"{'Козел', 'Кент'}",275.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Жатецкий гусь', 'Донской табак'}",230.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Киткат', 'Дирол'}",205.0
"{'Яблоко', 'Милкивей'}",220.0
"{'Огурцы', 'Молоко пастеризованное', 'Помидоры'}",360.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Яблоко', 'Твикс'}",150.0
"{'Апельсин', 'Дирол', 'Кент'}",350.0
"{'Степ', 'Дирол'}",200.0
"{'Козел', 'Кент'}",275.0
"{'Жатецкий гусь', 'Домашний', 'Кент'}",376.0
"{'Апельсин', 'Твикс'}",160.0
"{'Степ', 'Яблоко'}",140.0
"{'Козел', 'Донской табак'}",215.0
"{'Яблоко', 'Помидоры'}",200.0
"{'Молоко парное', 'Огурцы', 'Твикс', 'Домашний'}",416.0
"{'Молоко пастеризованное', 'Жатецкий гусь', 'Бородинский'}",189.0
"{'Молоко пастеризованное', 'Степ', 'Дирол', 'Домашний'}",356.0
"{'Степ', 'Яблоко'}",140.0
"{'Жатецкий гусь', 'Кент'}",290.0
"{'Огурцы', 'Донской табак', 'Дирол'}",370.0
"{'Козел', 'Донской табак'}",215.0
"{'Помидоры', 'Дирол', 'Кент'}",460.0
"{'Мандарин', 'Помидоры'}",220.0
"{'Яблоко', 'Твикс'}",150.0
"{'Марс', 'Апельсин'}",200.0
"{'Степ', 'Яблоко'}",140.0
"{'Жатецкий гусь', 'Домашний'}",262.0
"{'Степ', 'Дирол'}",200.0
"{'Капуста', 'Яблоко'}",280.0
"{'Помидоры', 'Дирол', 'Кент'}",460.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Молоко пастеризованное', 'Жатецкий гусь', 'Твикс', 'Бородинский'}",299.0
"{'Огурцы', 'Яблоко'}",170.0
"{'Апельсин', 'Степ'}",150.0
"{'Огурцы', 'Молоко пастеризованное', 'Кент'}",400.0
"{'Яблоко', 'Сникерс'}",170.0
"{'Ласточка', 'Дирол'}",350.0
"{'Огурцы', 'Молоко ультрапастеризованное', 'Домашний'}",266.0
"{'Апельсин', 'Огурцы'}",180.0
"{'Огурцы', 'Молоко пастеризованное'}",330.0
"{'Молоко парное', 'Огурцы'}",350.0
"{'Огурцы', 'Молоко пастеризованное', 'Помидоры'}",360.0
"{'Дирол', 'Твикс'}",210.0
"{'Молоко парное', 'Бородинский', 'Милкивей', 'Домашний'}",385.0
"{'Марс', 'Молоко пастеризованное', 'Жатецкий гусь', 'Домашний'}",396.0
"{'Молоко парное', 'Марс', 'Домашний'}",416.0
"{'Дирол', 'Сникерс'}",230.0
"{'Жатецкий гусь', 'Донской табак', 'Дирол'}",330.0
"{'Апельсин', 'Твикс'}",160.0
"{'Ласточка', 'Молоко пастеризованное', 'Киткат', 'Бородинский'}",454.0
"{'Бочка', 'Кент'}",260.0
"{'Киткат', 'Дирол'}",205.0
"{'Апельсин', 'Киткат'}",155.0
